SRR5855795	nifH13_R1
SRR5855796	nifH15_R2
SRR5855797	nifH15_R1
SRR5855798	nifH125_R1
SRR5855799	nifH125_R2
SRR5855800	nifH123_R1
SRR5855801	nifH123_R2
SRR5855802	nifH124_R1
SRR5855803	nifH124_R2
SRR5855804	nifH121_R1
SRR5855805	nifH121_R2
SRR5855806	nifH122_R1
SRR5855807	nifH122_R2
SRR5855808	nifH21_R2
SRR5855809	nifH61_R2
SRR5855810	nifH61_R1
SRR5855811	nifH62_R2
SRR5855812	nifH62_R1
SRR5855813	nifH63_R2
SRR5855814	nifH63_R1
SRR5855815	nifH64_R2
SRR5855816	nifH64_R1
SRR5855817	nifH65_R2
SRR5855818	nifH65_R1
SRR5855819	nifH21_R1
SRR5855820	nifH120_R2
SRR5855821	nifH120_R1
SRR5855822	nifH28_R1
SRR5855823	nifH28_R2
SRR5855824	nifH27_R1
SRR5855825	nifH27_R2
SRR5855826	nifH26_R1
SRR5855827	nifH26_R2
SRR5855828	nifH116_R2
SRR5855829	nifH116_R1
SRR5855830	nifH117_R2
SRR5855831	nifH117_R1
SRR5855832	nifH118_R2
SRR5855833	nifH118_R1
SRR5855834	nifH119_R2
SRR5855835	nifH119_R1
SRR5855836	nifH107_R2
SRR5855837	nifH22_R2
SRR5855838	nifH70_R1
SRR5855839	nifH70_R2
SRR5855840	nifH69_R1
SRR5855841	nifH69_R2
SRR5855842	nifH68_R1
SRR5855843	nifH68_R2
SRR5855844	nifH67_R1
SRR5855845	nifH67_R2
SRR5855846	nifH66_R1
SRR5855847	nifH66_R2
SRR5855848	nifH106_R2
SRR5855849	nifH106_R1
SRR5855850	nifH107_R1
SRR5855851	nifH109_R2
